Entity,Code,Year,Fossil Fuels (% sub energy)
Africa,,1965,94.474
Africa,,1966,94.138
Africa,,1967,93.931
Africa,,1968,93.27
Africa,,1969,92.331
Africa,,1970,91.207
Africa,,1971,92.334
Africa,,1972,91.771
Africa,,1973,91.962
Africa,,1974,91.282
Africa,,1975,91.293
Africa,,1976,91.185
Africa,,1977,90.793
Africa,,1978,91.061
Africa,,1979,91.274
Africa,,1980,92.075
Africa,,1981,92.6
Africa,,1982,93.064
Africa,,1983,93.909
Africa,,1984,93.694
Africa,,1985,93.134
Africa,,1986,92.614
Africa,,1987,93.406
Africa,,1988,92.863
Africa,,1989,92.523
Africa,,1990,92.911
Africa,,1991,92.454
Africa,,1992,92.845
Africa,,1993,93.189
Africa,,1994,93.084
Africa,,1995,92.969
Africa,,1996,92.842
Africa,,1997,92.741
Africa,,1998,92.477
Africa,,1999,92.412
Africa,,2000,92.11
Africa,,2001,92.123
Africa,,2002,91.798
Africa,,2003,92.313
Africa,,2004,92.421
Africa,,2005,92.574
Africa,,2006,92.557
Africa,,2007,92.587
Africa,,2008,92.812
Africa,,2009,92.806
Africa,,2010,92.525
Africa,,2011,92.414
Africa,,2012,92.657
Africa,,2013,92.413
Africa,,2014,92.246
Africa,,2015,92.331
Africa,,2016,92.425
Africa,,2017,92.089
Africa,,2018,91.915
Africa,,2019,91.516
Africa,,2020,90.408
Algeria,DZA,1965,95.513
Algeria,DZA,1966,96.687
Algeria,DZA,1967,95.958
Algeria,DZA,1968,94.829
Algeria,DZA,1969,97.004
Algeria,DZA,1970,95.605
Algeria,DZA,1971,97.689
Algeria,DZA,1972,96.914
Algeria,DZA,1973,96.067
Algeria,DZA,1974,97.653
Algeria,DZA,1975,98.704
Algeria,DZA,1976,98.683
Algeria,DZA,1977,99.171
Algeria,DZA,1978,99.387
Algeria,DZA,1979,99.456
Algeria,DZA,1980,99.597
Algeria,DZA,1981,99.527
Algeria,DZA,1982,99.464
Algeria,DZA,1983,99.759
Algeria,DZA,1984,99.517
Algeria,DZA,1985,99.316
Algeria,DZA,1986,99.75
Algeria,DZA,1987,99.514
Algeria,DZA,1988,99.834
Algeria,DZA,1989,99.789
Algeria,DZA,1990,99.881
Algeria,DZA,1991,99.739
Algeria,DZA,1992,99.827
Algeria,DZA,1993,99.671
Algeria,DZA,1994,99.847
Algeria,DZA,1995,99.829
Algeria,DZA,1996,99.879
Algeria,DZA,1997,99.93
Algeria,DZA,1998,99.806
Algeria,DZA,1999,99.819
Algeria,DZA,2000,99.95
Algeria,DZA,2001,99.939
Algeria,DZA,2002,99.951
Algeria,DZA,2003,99.786
Algeria,DZA,2004,99.806
Algeria,DZA,2005,99.592
Algeria,DZA,2006,99.847
Algeria,DZA,2007,99.85
Algeria,DZA,2008,99.824
Algeria,DZA,2009,99.8
Algeria,DZA,2010,99.892
Algeria,DZA,2011,99.779
Algeria,DZA,2012,99.789
Algeria,DZA,2013,99.939
Algeria,DZA,2014,99.89
Algeria,DZA,2015,99.909
Algeria,DZA,2016,99.863
Algeria,DZA,2017,99.768
Algeria,DZA,2018,99.73
Algeria,DZA,2019,99.723
Algeria,DZA,2020,99.746
Argentina,ARG,1965,98.964
Argentina,ARG,1966,98.983
Argentina,ARG,1967,98.988
Argentina,ARG,1968,98.846
