Entity,Code,Year,Low-carbon energy (% sub energy)
Africa,,1965,5.526
Africa,,1966,5.862
Africa,,1967,6.069
Africa,,1968,6.73
Africa,,1969,7.669
Africa,,1970,8.793
Africa,,1971,7.666
Africa,,1972,8.229
Africa,,1973,8.038
Africa,,1974,8.718
Africa,,1975,8.707
Africa,,1976,8.815
Africa,,1977,9.207
Africa,,1978,8.939
Africa,,1979,8.726
Africa,,1980,7.925
Africa,,1981,7.4
Africa,,1982,6.936
Africa,,1983,6.091
Africa,,1984,6.306
Africa,,1985,6.866
Africa,,1986,7.386
Africa,,1987,6.594
Africa,,1988,7.137
Africa,,1989,7.477
Africa,,1990,7.089
Africa,,1991,7.546
Africa,,1992,7.155
Africa,,1993,6.811
Africa,,1994,6.916
Africa,,1995,7.031
Africa,,1996,7.158
Africa,,1997,7.259
Africa,,1998,7.523
Africa,,1999,7.588
Africa,,2000,7.89
Africa,,2001,7.877
Africa,,2002,8.202
Africa,,2003,7.687
Africa,,2004,7.579
Africa,,2005,7.426
Africa,,2006,7.443
Africa,,2007,7.413
Africa,,2008,7.188
Africa,,2009,7.194
Africa,,2010,7.475
Africa,,2011,7.586
Africa,,2012,7.343
Africa,,2013,7.587
Africa,,2014,7.754
Africa,,2015,7.669
Africa,,2016,7.575
Africa,,2017,7.911
Africa,,2018,8.085
Africa,,2019,8.484
Africa,,2020,9.592
Algeria,DZA,1965,4.487
Algeria,DZA,1966,3.313
Algeria,DZA,1967,4.042
Algeria,DZA,1968,5.171
Algeria,DZA,1969,2.996
Algeria,DZA,1970,4.395
Algeria,DZA,1971,2.311
Algeria,DZA,1972,3.086
Algeria,DZA,1973,3.933
Algeria,DZA,1974,2.347
Algeria,DZA,1975,1.296
Algeria,DZA,1976,1.317
Algeria,DZA,1977,0.829
Algeria,DZA,1978,0.613
Algeria,DZA,1979,0.544
Algeria,DZA,1980,0.403
Algeria,DZA,1981,0.473
Algeria,DZA,1982,0.536
Algeria,DZA,1983,0.241
Algeria,DZA,1984,0.483
Algeria,DZA,1985,0.684
Algeria,DZA,1986,0.25
Algeria,DZA,1987,0.486
Algeria,DZA,1988,0.166
Algeria,DZA,1989,0.211
Algeria,DZA,1990,0.119
Algeria,DZA,1991,0.261
Algeria,DZA,1992,0.173
Algeria,DZA,1993,0.329
Algeria,DZA,1994,0.153
Algeria,DZA,1995,0.171
Algeria,DZA,1996,0.121
Algeria,DZA,1997,0.07
Algeria,DZA,1998,0.194
Algeria,DZA,1999,0.181
Algeria,DZA,2000,0.05
Algeria,DZA,2001,0.061
Algeria,DZA,2002,0.049
